method,model_name,task_name,seed,train_subset_size,primary_metric_name,primary_metric,trainable_parameters,trainable_percentage,epoch,eval_accuracy,eval_loss,eval_matthews_correlation,eval_primary_metric,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_f1
bitfit,distilbert-base-uncased,rte,789,500,accuracy,0.5487364620938628,643586,0.961221572515634,10.0,0.5487364620938628,0.7953449487686157,,0.5487364620938628,0.2106,1315.234,85.466,
full_ft,distilbert-base-uncased,rte,1024,500,accuracy,0.5631768953068592,66955010,100.0,3.0,0.5631768953068592,0.6799246072769165,,0.5631768953068592,0.1655,1673.266,108.732,
full_ft,distilbert-base-uncased,rte,123,500,accuracy,0.5342960288808665,66955010,100.0,3.0,0.5342960288808665,0.7022286653518677,,0.5342960288808665,0.1769,1566.016,101.763,
full_ft,distilbert-base-uncased,rte,42,500,accuracy,0.5415162454873647,66955010,100.0,3.0,0.5415162454873647,0.6899625658988953,,0.5415162454873647,0.1788,1549.611,100.697,
full_ft,distilbert-base-uncased,rte,456,500,accuracy,0.592057761732852,66955010,100.0,3.0,0.592057761732852,0.6828639507293701,,0.592057761732852,0.2074,1335.445,86.78,
full_ft,distilbert-base-uncased,rte,789,500,accuracy,0.5306859205776173,66955010,100.0,3.0,0.5306859205776173,0.7037022709846497,,0.5306859205776173,0.1711,1618.793,105.192,
gradaware_lora,distilbert-base-uncased,rte,1024,500,accuracy,0.5595667870036101,739586,1.0925332946813067,10.0,0.5595667870036101,0.8950086236000061,,0.5595667870036101,0.2702,1025.234,66.622,
gradaware_lora,distilbert-base-uncased,rte,1024,500,accuracy,0.5595667870036101,739586,1.0925332946813067,10.0,0.5595667870036101,0.8948995471000671,,0.5595667870036101,0.1783,1553.926,100.977,
gradaware_lora,distilbert-base-uncased,rte,123,500,accuracy,0.48736462093862815,739586,1.0925332946813067,10.0,0.48736462093862815,1.0137381553649902,,0.48736462093862815,0.2313,1197.617,77.823,
gradaware_lora,distilbert-base-uncased,rte,123,500,accuracy,0.48736462093862815,739586,1.0925332946813067,10.0,0.48736462093862815,1.0134472846984863,,0.48736462093862815,0.1778,1557.966,101.24,
